AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Eccentricity,EdgeCount,Indegree,Outdegree,NeighborhoodConnectivity,PartnerOfMultiEdgedNodePairs,SelfLoops,Stress
0,0,0,0,0,1,1,0,12,0,0,0
0,0,0,0,0,1,1,0,12,0,0,0
0,0,0,0,0,2,2,0,12,0,0,0
0,0,0,0,0,2,2,0,14.5,0,0,0
6.736952715,2.201168052,0.148435063,0,16,15,5,10,9.066666667,0,0,389207702
0,0,0,0,0,1,1,0,12,0,0,0
6.101459428,2.670422069,0.163895214,0,15,13,3,10,12.07692308,0,0,482675647
6.442498541,3.793623689,0.155219282,0,18,12,2,10,8.916666667,0,0,753564815
6.230706363,1.962299223,0.160495447,0,15,11,1,10,12.18181818,0,0,352073331
6.698890835,1.252638222,0.149278444,0,16,11,1,10,11.36363636,0,0,224452210
0,0,0,0,0,1,1,0,15,0,0,0
0,0,0,0,0,1,1,0,15,0,0,0
0,0,0,0,0,1,1,0,15,0,0,0
0,0,0,0,0,1,1,0,15,0,0,0
0,0,0,0,0,1,1,0,12,0,0,0
0,0,0,0,0,1,1,0,12,0,0,0
7.562521891,0.422432722,0.132231022,0,17,5,4,1,12.8,0,0,72361405
1,0.036032025,1,0,1,2,1,1,8,0,0,7241537
6.363455925,1.274056795,0.157147313,0,15,12,2,10,12.41666667,0,0,232291703
0,0,0,0,0,2,2,0,12.5,0,0,0
0,0,0,0,0,3,3,0,12,0,0,0
0,0,0,0,0,2,2,0,12.5,0,0,0
7.110215995,1.46660367,0.140642703,0,17,15,5,10,11,0,0,260996314
0,0,0,0,0,3,3,0,12,0,0,0
0,0,0,0,0,2,2,0,12,0,0,0
0,0,0,0,0,3,3,0,12.66666667,0,0,0
6.218680677,2.83649494,0.160805813,0,17,13,3,10,11.07692308,0,0,527505443
6.959953298,1.410955974,0.143679125,0,18,12,2,10,9.166666667,0,0,289292059
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,14,0,0,0
6.3186223,1.435745891,0.158262348,0,17,12,2,10,13.08333333,0,0,260640363
0,0,0,0,0,1,1,0,16,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,2,2,0,12,0,0,0
6.727962639,0.91648373,0.148633406,0,16,13,3,10,10.69230769,0,0,164961430
6.575948628,0.712631018,0.152069314,0,15,11,1,10,8.090909091,0,0,126329599
6.976298891,2.147639174,0.143342482,0,18,15,6,9,10.4,0,0,420855197
0,0,0,0,0,5,5,0,11.6,0,0,0
0,0,0,0,0,5,5,0,11.2,0,0,0
6.360887332,1.794127186,0.157210771,0.007575758,16,12,2,10,10.58333333,0,0,300984768
0,0,0,0,0,3,3,0,10.66666667,0,0,0
6.214944542,1.576292327,0.160902482,0,16,11,1,10,9.363636364,0,0,295016011
6.941973147,1.305752071,0.144051263,0,18,12,3,9,12.33333333,0,0,234323796
7.32084063,0.446691026,0.136596335,0.005494505,19,14,4,10,13.42857143,0,0,71929176
0,0,0,0,0,4,4,0,12.75,0,0,0
7.762054874,0.16535552,0.128831864,0,18,2,1,1,13.5,0,0,29235338
0,0,0,0,0,1,1,0,14,0,0,0
7.399065966,0.907002819,0.135152194,0,18,12,2,10,14.75,0,0,174288832
7.117688266,1.54671906,0.140495054,0,16,11,1,10,9,0,0,263664476
0,0,0,0.166666667,0,3,3,0,12.33333333,0,0,0
0,0,0,0,0,1,1,0,10,0,0,0
0,0,0,0,0,1,1,0,10,0,0,0
0,0,0,0,0,1,1,0,2,0,0,0
0,0,0,0,0,3,3,0,26.66666667,0,0,0
7.852305896,0.760674985,0.127351126,0,19,10,1,9,7.8,0,0,136636949
0,0,0,0,0,2,2,0,10.5,0,0,0
0,0,0,0,0,1,1,0,13,0,0,0
0,0,0,0,0,2,2,0,11.5,0,0,0
8.405812325,0.019460438,0.118965302,0,20,10,1,9,7.3,0,0,2849029
0,0,0,0,0,1,1,0,12,0,0,0
0,0,0,0,0,1,1,0,12,0,0,0
8.099708114,1.214503954,0.123461239,0,19,14,4,10,9.071428571,0,0,216270852
0,0,0,0,0,4,4,0,12.75,0,0,0
0,0,0,0,0,2,2,0,13,0,0,0
6.773146527,0.47155156,0.147641867,0.011111111,17,10,1,9,12.6,0,0,80014627
6.467016929,0.145035625,0.1546308,0,17,11,1,10,11.90909091,0,0,31948785
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,3,3,0,11,0,0,0
0,0,0,0,0,2,2,0,11.5,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
6.75283129,0.803864293,0.148086033,0,17,8,3,5,13,0,0,152295115
0,0,0,0,0,1,1,0,12,0,0,0
6.093870403,1.297300576,0.164099322,0.002631579,14,20,3,17,11.3,0,0,217598366
0,0,0,0,0,1,1,0,11,0,0,0
7.718038529,0.231649756,0.129566599,0,19,6,1,5,9.666666667,0,0,43716752
6.055575015,1.694245206,0.165137084,0.042857143,17,15,5,10,49.86666667,0,0,340446541
0,0,0,0,0,2,2,0,11,0,0,0
0,0,0,0,0,6,6,0,15,0,0,0
6.739054291,5.214339305,0.148388773,0,17,12,2,10,8.916666667,0,0,1004808511
7.131698774,0.873811199,0.140219046,0,17,12,2,10,8.416666667,0,0,155273156
0,0,0,0,0,4,4,0,10.5,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
8.109632224,0.051551313,0.123310154,0,19,3,1,2,12.66666667,0,0,8945651
6.287915937,1.65403497,0.159035205,0,16,12,2,10,12.25,0,0,304906793
0,0,0,0,0,3,3,0,7.666666667,0,0,0
7.988791594,1.043694983,0.125175377,0,19,12,3,9,7.166666667,0,0,185232978
6.558318739,1.628751447,0.152478103,0,18,13,3,10,7.923076923,0,0,287670087
0,0,0,0,0,2,2,0,10.5,0,0,0
0,0,0,0,0,3,3,0,11.66666667,0,0,0
0,0,0,0,0,3,3,0,11,0,0,0
1,1.923279855,1,0,1,13,3,10,3.615384615,0,0,348510920
6.291885581,1.092211733,0.158934867,0,14,12,2,10,14.75,0,0,207372172
6.690134267,2.95452204,0.149473831,0,16,11,2,9,9.636363636,0,0,527861622
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,2,2,0,12,0,0,0
6.76357268,0.988361292,0.147850854,0,17,11,2,9,17.54545455,0,0,179445926
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
1,0.136595028,1,0,1,4,3,1,9.25,0,0,24162346
0,0,0,0,0,2,2,0,12,0,0,0
0,0,0,0,0,1,1,0,3,0,0,0
0,0,0,0,0,1,1,0,15,0,0,0
5.983654407,3.227900696,0.167121951,0,17,13,3,10,14.69230769,0,0,613625790
0,0,0,0,0,1,1,0,11,0,0,0
1,0.022292368,1,0,1,5,4,1,10.4,0,0,3629400
6.700058377,3.755297375,0.149252431,0.015151515,16,12,2,10,8.833333333,0,0,715742075
0,0,0,0,0,4,4,0,10.75,0,0,0
0,0,0,0,0,1,1,0,14,0,0,0
0,0,0,0,0,1,1,0,14,0,0,0
1,0.026553087,1,0,1,2,1,1,8,0,0,4718733
0,0,0,0,0,1,1,0,11,0,0,0
1,0.018069443,1,0,1,4,3,1,10,0,0,3130021
0,0,0,0,0,3,3,0,12,0,0,0
1,0.014446415,1,0,1,3,2,1,11.33333333,0,0,2709092
0,0,0,0,0,1,1,0,46,0,0,0
0,0,0,0,0,3,3,0,22.66666667,0,0,0
0,0,0,0,0,2,2,0,28.5,0,0,0
0,0,0,0,0,1,1,0,46,0,0,0
0,0,0,0,0,1,1,0,46,0,0,0
0,0,0,0,0,1,1,0,46,0,0,0
6.750029189,2.431577751,0.148147508,0,17,11,1,10,11.81818182,0,0,444904045
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,2,2,0,12,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
7.439579685,1.123658554,0.134416196,0,19,12,2,10,7.083333333,0,0,189749154
0,0,0,0,0,3,3,0,9.666666667,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,3,3,0,11.33333333,0,0,0
0,0,0,0,0,1,1,0,12,0,0,0
6.377583187,4.165652033,0.156799209,0,16,12,2,10,10.33333333,0,0,723980039
0,0,0,0,0,2,2,0,11.5,0,0,0
0,0,0,0,0,2,2,0,13,0,0,0
0,0,0,0,0,1,1,0,12,0,0,0
6.575364857,1.166660181,0.152082815,0,17,12,2,10,15.08333333,0,0,206454832
0,0,0,0,0,1,1,0,11,0,0,0
6.853356684,1.07818762,0.1459139,0,15,11,1,10,7,0,0,189698407
6.80910683,2.867022148,0.14686214,0,15,12,2,10,9.833333333,0,0,510715553
0,0,0,0,0,4,4,0,11.25,0,0,0
1,0.085795994,1,0,1,4,1,3,8.25,0,0,18335339
7.485464098,1.809413686,0.133592251,0,16,11,2,9,7,0,0,343650155
6.646234676,3.134802202,0.150461133,0,15,12,2,10,8.833333333,0,0,587944750
10.00782253,0.033829446,0.099921836,0,20,2,1,1,13.5,0,0,6911893
6.214477525,7.327282498,0.160914573,0,16,13,3,10,14.30769231,0,0,1331248548
1,0.011255464,1,0,1,2,1,1,9,0,0,1991155
6.572329247,1.080682372,0.152153059,0,18,11,1,10,39.09090909,0,0,208810161
0,0,0,0,0,1,1,0,2,0,0,0
0,0,0,0,0,1,1,0,10,0,0,0
6.972913018,0.657395851,0.143412086,0,17,11,1,10,9.272727273,0,0,119950374
0,0,0,0,0,1,1,0,9,0,0,0
6.655107998,1.250288625,0.150260522,0,18,11,1,10,11.18181818,0,0,209714304
0,0,0,0,0,1,1,0,13,0,0,0
0,0,0,0,0,1,1,0,12,0,0,0
6.551663748,2.04469507,0.152632986,0,16,12,3,9,10.08333333,0,0,351689050
0,0,0,0,0,2,2,0,10.5,0,0,0
0,0,0,0,0,4,4,0,21.25,0,0,0
7.118505546,1.385401718,0.140478924,0.009090909,19,11,1,10,7.363636364,0,0,243302469
0,0,0,0,0,2,2,0,11,0,0,0
0,0,0,0,0,1,1,0,5,0,0,0
0,0,0,0,0,3,3,0,10,0,0,0
7.26316404,1.722051511,0.137681043,0,17,13,4,9,9.615384615,0,0,319188853
6.616579101,0.926432348,0.151135501,0,18,11,1,10,11.81818182,0,0,160068596
6.216112084,1.448398794,0.16087226,0,17,11,1,10,12.27272727,0,0,267673223
7.034442499,0.407200953,0.142157676,0,18,11,1,10,10.09090909,0,0,86909016
8.229772329,0.16659411,0.121510044,0,18,3,2,1,13,0,0,25500931
6.153998832,0.623965571,0.162495968,0,17,11,1,10,11.36363636,0,0,108785901
7.290718039,0.246539487,0.137160701,0,18,11,2,9,8.181818182,0,0,42881546
0,0,0,0,0,4,4,0,13.5,0,0,0
0,0,0,0,0,1,1,0,15,0,0,0
0,0,0,0,0,2,2,0,13.5,0,0,0
0,0,0,0.5,0,2,2,0,30.5,0,0,0
0,0,0,0,0,1,1,0,14,0,0,0
6.117338004,1.24532851,0.163469797,0,16,11,1,10,11.36363636,0,0,206587541
0,0,0,0,0,3,3,0,17.33333333,0,0,0
0,0,0,0,0,2,2,0,21.5,0,0,0
0,0,0,0,0,2,2,0,20,0,0,0
0,0,0,0,0,1,1,0,30,0,0,0
6.775014594,0.950113281,0.147601158,0,18,11,1,10,9.818181818,0,0,163977399
0,0,0,0,0,1,1,0,30,0,0,0
0,0,0,0,0,1,1,0,30,0,0,0
0,0,0,0,0,1,1,0,30,0,0,0
8.28966725,0.207332901,0.120632104,0,19,11,1,10,9.545454545,0,0,34578929
5.941973147,1.152901627,0.168294264,0.007575758,17,12,2,10,16.83333333,0,0,228470108
0,0,0,0,0,1,1,0,12,0,0,0
0,0,0,0.166666667,0,3,3,0,11.33333333,0,0,0
0,0,0,0,0,1,1,0,14,0,0,0
6.542089901,1.897322403,0.152856353,0,17,12,2,10,10.08333333,0,0,337427687
0,0,0,0,0,1,1,0,13,0,0,0
0,0,0,0,0,1,1,0,13,0,0,0
0,0,0,0,0,2,2,0,12,0,0,0
6.249036778,2.342679318,0.160024662,0,17,12,2,10,10.08333333,0,0,448496346
0,0,0,0,0,1,1,0,10,0,0,0
8.464214828,0.117390503,0.118144449,0,19,3,2,1,35,0,0,22038588
9.999766492,0.206191529,0.100002335,0.011111111,20,10,1,9,7.1,0,0,35835096
6.723292469,1.125977263,0.14873665,0,15,13,3,10,14.15384615,0,0,203070548
0,0,0,0,0,2,2,0,12.5,0,0,0
0,0,0,0,0,2,2,0,11.5,0,0,0
0,0,0,0,0,1,1,0,12,0,0,0
6.687682428,2.011212661,0.149528631,0.005494505,17,14,4,10,10.28571429,0,0,382702381
0,0,0,0,0,2,2,0,13.5,0,0,0
1,0.010101585,1,0,1,3,1,2,13.66666667,0,0,1804809
6.210040864,2.487038645,0.161029536,0.009803922,16,18,8,10,12.83333333,0,0,393903291
6.758201985,0.863641368,0.14796835,0,16,12,2,10,14,0,0,144435026
0,0,0,0,0,1,1,0,13,0,0,0
6.119206071,3.752612861,0.163419893,0,16,13,3,10,13.15384615,0,0,628403281
0,0,0,0,0,1,1,0,15,0,0,0
6.57267951,5.797068637,0.152144951,0.006410256,18,13,3,10,15,0,0,995102974
6.408990076,1.46326529,0.156030824,0,16,11,1,10,9.636363636,0,0,261526865
0,0,0,0,0,1,1,0,12,0,0,0
6.279859895,0.504803626,0.159239221,0.018181818,16,11,1,10,15.36363636,0,0,95515043
0,0,0,0,0,2,2,0,14,0,0,0
0,0,0,0,0,2,2,0,14,0,0,0
0,0,0,0,0,2,2,0,14,0,0,0
0,0,0,0,0,2,2,0,14,0,0,0
0,0,0,0,0,2,2,0,14,0,0,0
0,0,0,0,0,2,2,0,14,0,0,0
0,0,0,0,0,3,3,0,11.33333333,0,0,0
6.541272621,1.445987219,0.152875451,0,17,11,1,10,10,0,0,238117893
1,0.025371789,1,0,1,4,1,3,5.75,0,0,3763313
0,0,0,0,0,2,2,0,11.5,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,3,3,0,13.33333333,0,0,0
6.716987741,1.86089157,0.148876258,0.005494505,18,14,4,10,15.14285714,0,0,337253784
0,0,0,0,0,1,1,0,15,0,0,0
0,0,0,0,0,1,1,0,15,0,0,0
6.748511384,2.057204597,0.148180827,0,18,12,3,9,11.75,0,0,357924069
0,0,0,0,0,1,1,0,11,0,0,0
6.370577933,0.779709952,0.15697163,0.037878788,17,12,2,10,58.83333333,0,0,146727021
0,0,0,0,0,1,1,0,11,0,0,0
7.161004086,0.587436435,0.139645221,0,17,2,1,1,13,0,0,106788312
0,0,0,0,0,1,1,0,13,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
7.010507881,0.548243396,0.142643018,0,18,11,1,10,9.909090909,0,0,95817836
7.215294804,0.527286454,0.138594476,0,18,12,2,10,11.75,0,0,87750771
0,0,0,0,0,1,1,0,14,0,0,0
6.403152364,1.731740447,0.156173076,0,17,14,5,9,11.57142857,0,0,306978790
0,0,0,0,0,1,1,0,12,0,0,0
6.531815528,0.842324115,0.153096791,0,18,11,1,10,9.818181818,0,0,161243532
0,0,0,0,0,2,2,0,10.5,0,0,0
0,0,0,0,0,1,1,0,10,0,0,0
0,0,0,0,0,1,1,0,10,0,0,0
0,0,0,0,0,1,1,0,10,0,0,0
0,0,0,0,0,1,1,0,15,0,0,0
0,0,0,0,0,3,3,0,12.66666667,0,0,0
0,0,0,0,0,3,3,0,10,0,0,0
7.631406888,0.22255136,0.131037437,0,18,4,2,2,8.75,0,0,35888150
0,0,0,0,0,1,1,0,13,0,0,0
6.277291302,2.549272464,0.15930438,0,17,14,4,10,12.14285714,0,0,493576156
1,0.125299769,1,0,1,2,1,1,7.5,0,0,23040367
0,0,0,0,0,1,1,0,13,0,0,0
0,0,0,0,0,1,1,0,15,0,0,0
0,0,0,0,0,1,1,0,15,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,3,3,0,11.33333333,0,0,0
6.857793345,1.074288518,0.1458195,0,17,11,1,10,6.909090909,0,0,211789244
6.34068885,2.968177732,0.157711571,0,16,12,2,10,10.66666667,0,0,565577193
0,0,0,0,0,4,4,0,11.5,0,0,0
7.169877408,1.886568907,0.139472399,0,19,13,3,10,10.07692308,0,0,312223417
0,0,0,0,0,1,1,0,12,0,0,0
7.156333917,0.209688964,0.139736353,0,18,5,4,1,15.6,0,0,46869753
6.221599533,2.548287616,0.160730371,0,16,12,2,10,14.91666667,0,0,463736587
0,0,0,0,0,1,1,0,15,0,0,0
0,0,0,0,0,6,6,0,12.33333333,0,0,0
0,0,0,0,0,2,2,0,12.5,0,0,0
6.789025102,0.59763579,0.147296554,0,17,10,1,9,9,0,0,106074513
0,0,0,0,0,1,1,0,12,0,0,0
6.792644483,0.891702086,0.147218068,0,16,11,1,10,8.454545455,0,0,160419620
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,2,2,0,13,0,0,0
0,0,0,0.017857143,0,8,8,0,11.375,0,0,0
0,0,0,0,0,4,4,0,21,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
9.675189726,0.449442624,0.103357146,0,20,8,2,6,7.5,0,0,74333106
1,0.004950643,1,0,1,2,1,1,8.5,0,0,717077
0,0,0,0,0,2,2,0,9.5,0,0,0
0,0,0,0,0,4,4,0,12,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,17,0,0,0
6.503677758,1.938250922,0.153759156,0,17,13,3,10,13.15384615,0,0,338568514
0,0,0,0,0,1,1,0,17,0,0,0
0,0,0,0,0,3,3,0,13.33333333,0,0,0
6.165440747,6.308534352,0.162194406,0.005494505,17,14,4,10,34.57142857,0,0,1254159353
1,0.004429519,1,0.166666667,1,3,2,1,10.33333333,0,0,699879
0,0,0,0,0,1,1,0,13,0,0,0
0,0,0,0,0,3,3,0,12.33333333,0,0,0
8.402101576,0.081116038,0.119017842,0,20,6,1,5,9.333333333,0,0,13362440
0,0,0,0,0,1,1,0,12,0,0,0
0,0,0,0,0,1,1,0,12,0,0,0
6.719322825,0.484549915,0.148824521,0,17,10,1,9,11.8,0,0,81653546
0,0,0,0,0,1,1,0,12,0,0,0
0,0,0,0,0,1,1,0,12,0,0,0
6.836894337,1.573224452,0.146265241,0,18,9,1,8,7.222222222,0,0,258356604
0,0,0,0,0,1,1,0,12,0,0,0
0,0,0,0,0,1,1,0,12,0,0,0
0,0,0,0,0,3,3,0,12.66666667,0,0,0
0,0,0,0,0,4,4,0,10.75,0,0,0
0,0,0,0,0,1,1,0,12,0,0,0
0,0,0,0,0,1,1,0,12,0,0,0
6.904028021,2.290791868,0.144842981,0.004761905,17,15,5,10,12,0,0,397509598
0,0,0,0,0,2,2,0,15,0,0,0
0,0,0,0,0,1,1,0,17,0,0,0
7.354232341,0.242170692,0.135976123,0,18,4,3,1,12.25,0,0,54600373
0,0,0,0,0,2,2,0,13,0,0,0
6.711850555,1.616722092,0.148990206,0,15,11,1,10,9.363636364,0,0,281722293
0,0,0,0,0,4,4,0,12,0,0,0
0,0,0,0,0,2,2,0,12.5,0,0,0
7.449036778,3.340618253,0.134245545,0,17,16,6,10,10.8125,0,0,651702124
0,0,0,0,0,1,1,0,13,0,0,0
7.016695855,1.471740328,0.142517222,0.007575758,19,12,2,10,13.58333333,0,0,249569989
0,0,0,0,0,1,1,0,12,0,0,0
0,0,0,0,0,1,1,0,12,0,0,0
7.474839463,0.235459806,0.133782137,0,17,10,1,9,11.5,0,0,39289597
0,0,0,0,0,3,3,0,12.33333333,0,0,0
7.304261529,0.694259265,0.136906379,0,18,8,5,3,10.5,0,0,115916431
6.991009924,0.558921138,0.14304085,0,17,7,2,5,13.71428571,0,0,102426763
7.338003503,4.992262777,0.13627685,0,16,3,2,1,11.66666667,0,0,920478054
6.033508465,4.474485593,0.165741045,0,17,11,1,10,13.09090909,0,0,843348101
0,0,0,0,0,3,3,0,11.33333333,0,0,0
6.990659661,1.027897425,0.143048017,0,17,10,1,9,10.2,0,0,187741338
6.551780502,1.862789512,0.152630266,0,16,13,3,10,12.07692308,0,0,316730929
0,0,0,0,0,6,6,0,11,0,0,0
0,0,0,0,0,2,2,0,13,0,0,0
0,0,0,0,0,3,3,0,11.66666667,0,0,0
0,0,0,0,0,6,6,0,10.66666667,0,0,0
0,0,0,0,0,1,1,0,14,0,0,0
6.430939872,2.062627993,0.155498266,0,17,12,2,10,11.41666667,0,0,363237695
0,0,0,0,0,3,3,0,23.66666667,0,0,0
0,0,0,0,0,1,1,0,14,0,0,0
0,0,0,0,0,2,2,0,14,0,0,0
6.555049621,1.56232376,0.152554146,0,17,11,1,10,9.090909091,0,0,281163072
7.588674839,0.584167526,0.131775313,0,17,11,1,10,13.45454545,0,0,107984823
0,0,0,0,0,2,2,0,11.5,0,0,0
6.362405137,1.039126245,0.157173267,0,17,13,4,9,12.69230769,0,0,187011698
0,0,0,0,0,1,1,0,12,0,0,0
0,0,0,0,0,1,1,0,17,0,0,0
0,0,0,0,0,6,6,0,11.83333333,0,0,0
0,0,0,0,0,1,1,0,17,0,0,0
0,0,0,0,0,2,2,0,13.5,0,0,0
7.367075306,1.713755332,0.135739077,0,18,6,1,5,9.333333333,0,0,303703613
0,0,0,0,0,1,1,0,10,0,0,0
0,0,0,0,0,2,2,0,9.5,0,0,0
1.666666667,0.002563241,0.6,0,2,2,1,1,9.5,0,0,535003
0,0,0,0.083333333,0,4,4,0,11.25,0,0,0
0,0,0,0,0,1,1,0,6,0,0,0
7.164856976,2.712850349,0.139570127,0,19,13,3,10,9.538461538,0,0,496784940
0,0,0,0,0,1,1,0,16,0,0,0
1,0.073290868,1,0,1,2,1,1,11,0,0,15216914
1,0.001744848,1,0,1,2,1,1,11,0,0,185960
1,0.015205546,1,0,1,4,3,1,8.5,0,0,2627818
7.853823701,0.156233482,0.127326515,0,19,3,2,1,12.33333333,0,0,26604848
0,0,0,0,0,1,1,0,13,0,0,0
0,0,0,0,0,1,1,0,13,0,0,0
0,0,0,0,0,2,2,0,14,0,0,0
0,0,0,0,0,1,1,0,12,0,0,0
6.581085814,1.585054407,0.151950609,0,17,11,1,10,9.181818182,0,0,265329170
0,0,0,0,0,5,5,0,12.2,0,0,0
1,0.12422795,1,0,1,2,1,1,11,0,0,23340935
6.591243433,3.84856632,0.151716442,0,15,15,5,10,12,0,0,689640182
0,0,0,0,0,1,1,0,12,0,0,0
0,0,0,0,0,1,1,0,12,0,0,0
6.35971979,0.826229275,0.157239632,0,17,11,1,10,9.272727273,0,0,141138400
0,0,0,0,0,1,1,0,7,0,0,0
0,0,0,0,0,2,2,0,10.5,0,0,0
0,0,0,0,0,2,2,0,12,0,0,0
0,0,0,0,0,2,2,0,14.5,0,0,0
7.28359603,0.272437321,0.137294819,0,16,5,4,1,12.4,0,0,53490225
0,0,0,0,0,2,2,0,11.5,0,0,0
0,0,0,0,0,1,1,0,12,0,0,0
0,0,0,0,0,1,1,0,3,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,13,0,0,0
1.8,0.340098809,0.555555556,0,2,6,5,1,11.16666667,0,0,57753233
0,0,0,0,0,2,2,0,12,0,0,0
0,0,0,0,0,1,1,0,9,0,0,0
6.416345593,2.315610275,0.155851954,0.006410256,17,13,3,10,12.23076923,0,0,404905012
0,0,0,0,0,2,2,0,13,0,0,0
6.528079393,0.203692423,0.153184411,0,17,6,1,5,16.5,0,0,36999929
0,0,0,0,0,1,1,0,4,0,0,0
7.381903094,0.258736548,0.135466422,0,19,11,1,10,10.18181818,0,0,47883087
8.479976649,0.371821697,0.117924853,0,18,12,2,10,7.583333333,0,0,61944843
0,0,0,0,0,2,2,0,12,0,0,0
0,0,0,0,0,2,2,0,10.5,0,0,0
6.727495622,0.852772457,0.148643724,0,17,11,3,8,12.54545455,0,0,163598738
0,0,0,0,0,1,1,0,14,0,0,0
0,0,0,0,0,3,3,0,13,0,0,0
0,0,0,0,0,3,3,0,13.33333333,0,0,0
6.814477525,2.686003156,0.146746393,0,17,13,3,10,8.307692308,0,0,506655310
0,0,0,0,0,3,3,0,10.66666667,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
6.547227087,5.610957072,0.152736416,0.008333333,18,16,6,10,8.3125,0,0,975008488
6.193461763,3.066317484,0.161460592,0,17,14,4,10,11.92857143,0,0,538466186
0,0,0,0,0,1,1,0,13,0,0,0
0,0,0,0,0,2,2,0,13.5,0,0,0
1.9,0.035806459,0.526315789,0,2,4,3,1,15,0,0,5591822
6.191476941,0.615438869,0.161512351,0.009090909,17,11,2,9,48.09090909,0,0,131817594
0,0,0,0,0,1,1,0,15,0,0,0
7.226503211,0.368616254,0.138379514,0,19,6,2,4,12.5,0,0,66245051
1,0.184954904,1,0,1,9,4,5,9.333333333,0,0,34484424
0,0,0,0,0,3,3,0,18.33333333,0,0,0
0,0,0,0,0,2,2,0,13,0,0,0
0,0,0,0,0,2,2,0,13,0,0,0
6.591360187,0.918241451,0.151713754,0.007575758,18,12,2,10,56.16666667,0,0,191388238
0,0,0,0,0,1,1,0,13,0,0,0
6.897256276,1.611854172,0.144985188,0,16,13,3,10,9.846153846,0,0,288376796
0,0,0,0,0,2,2,0,7.5,0,0,0
1,0.001111377,1,0,1,2,1,1,8,0,0,188809
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,2,2,0,12,0,0,0
0,0,0,0,0,1,1,0,13,0,0,0
0,0,0,0,0,1,1,0,22,0,0,0
6.975831874,1.714078008,0.143352079,0,18,10,1,9,10.6,0,0,304973413
7.594862814,0.855282415,0.131667948,0,19,3,2,1,10,0,0,150649617
6.370694688,3.128501003,0.156968753,0,16,15,5,10,9.733333333,0,0,549065636
6.712784588,2.105364324,0.148969476,0,16,13,3,10,8.615384615,0,0,381520237
1,0.013878938,1,0,1,4,3,1,12,0,0,2364073
0,0,0,0.5,0,2,2,0,12.5,0,0,0
0,0,0,0,0,4,4,0,16.25,0,0,0
0,0,0,0,0,1,1,0,14,0,0,0
0,0,0,0,0,1,1,0,14,0,0,0
7.736135435,0.832334366,0.129263507,0,19,15,3,12,9.2,0,0,136512065
0,0,0,0,0,7,7,0,11,0,0,0
0,0,0,0,0,1,1,0,19,0,0,0
1,0.003808907,1,0,1,4,3,1,14,0,0,562835
6.596263865,2.249918645,0.15160097,0,17,12,2,10,8.916666667,0,0,397251771
6.929713952,1.705255084,0.144306101,0,17,13,3,10,8.153846154,0,0,321233566
6.7696439,2.926954953,0.147718257,0,17,10,1,9,8.2,0,0,594501856
6.655808523,3.328270111,0.150244707,0,17,11,1,10,11.09090909,0,0,656046459
0,0,0,0,0,5,5,0,12.2,0,0,0
6.252539405,0.462634307,0.159935018,0,17,12,2,10,11.08333333,0,0,82251794
0,0,0,0,0,1,1,0,12,0,0,0
0,0,0,0,0,3,3,0,15,0,0,0
0,0,0,0,0,1,1,0,12,0,0,0
0,0,0,0,0,2,2,0,14,0,0,0
0,0,0,0,0,2,2,0,13.5,0,0,0
0,0,0,0,0,1,1,0,17,0,0,0
6.587273789,0.714449762,0.15180787,0,17,11,2,9,9.818181818,0,0,136982813
6.778050204,0.628855421,0.147535054,0,15,11,1,10,7.818181818,0,0,123403720
5.791243433,8.399465749,0.172674489,0.002898551,14,46,6,40,11.63043478,0,0,1519469983
0,0,0,0,0,1,1,0,14,0,0,0
6.866082896,0.250625229,0.14564345,0,18,10,1,9,8.4,0,0,47091205
0,0,0,0,0,3,3,0,11.66666667,0,0,0
0,0,0,0,0,3,3,0,11.33333333,0,0,0
0,0,0,0,0,2,2,0,13,0,0,0
7.217046118,0.839244133,0.138560844,0,19,10,1,9,11.8,0,0,153878295
